id,Date,pH,TDS,Temperature,EC
1,2025-04-16 23:39:05.878379+00,6.82,165.21,12.56,246.58
2,2025-04-16 23:59:05.739695+00,6.78,164.92,12.5,246.15
3,2025-04-17 00:19:05.862362+00,6.83,164.63,12.44,245.72
4,2025-04-17 00:39:05.773458+00,6.94,164.63,12.37,245.72
5,2025-04-17 00:59:05.74206+00,6.99,163.77,12.31,244.43
6,2025-04-17 01:19:05.732234+00,7.04,163.49,12.25,244.01
7,2025-04-17 01:39:05.730965+00,7.06,162.91,12.19,243.15
8,2025-04-17 01:59:05.762871+00,7.12,162.63,12.13,242.73
9,2025-04-17 02:19:05.926544+00,7.12,161.76,12.13,241.43
10,2025-04-17 02:39:05.87793+00,7.18,160.61,12.06,239.72
11,2025-04-17 02:59:05.734606+00,7.18,160.04,12.0,238.87
12,2025-04-17 03:19:05.739804+00,7.26,159.75,11.94,238.43
13,2025-04-17 03:39:05.737516+00,7.18,158.6,11.88,236.72
14,2025-04-17 03:59:05.752776+00,7.21,158.02,11.81,235.85
15,2025-04-17 04:19:05.730272+00,7.23,157.16,11.75,234.57
16,2025-04-17 04:39:05.944825+00,7.22,157.45,11.69,235.0
17,2025-04-17 04:59:05.943311+00,7.23,156.29,11.63,233.27
18,2025-04-17 05:19:05.906176+00,7.21,155.72,11.56,232.42
19,2025-04-17 05:39:05.920261+00,7.21,155.43,11.44,231.99
20,2025-04-17 05:59:05.841941+00,7.23,155.43,11.44,231.99
21,2025-04-17 06:19:05.877952+00,7.18,154.56,11.31,230.69
22,2025-04-17 06:39:05.745476+00,7.16,154.56,11.25,230.69
23,2025-04-17 06:59:05.749379+00,7.11,153.98,11.19,229.82
24,2025-04-17 07:19:05.748378+00,7.09,153.4,11.12,228.96
25,2025-04-17 07:39:05.894744+00,7.11,153.12,11.0,228.54
26,2025-04-17 07:59:06.956938+00,7.11,152.25,10.94,227.24
27,2025-04-17 08:19:05.869678+00,7.08,151.38,10.88,225.94
28,2025-04-17 08:39:05.903539+00,7.09,151.38,10.81,225.94
29,2025-04-17 08:59:05.762071+00,7.1,150.8,10.75,225.07
30,2025-04-17 09:19:05.765595+00,7.09,150.51,10.75,224.64
31,2025-04-17 09:39:05.887469+00,7.12,150.22,10.69,224.21
32,2025-04-17 09:59:05.761019+00,7.18,149.35,10.63,222.91
33,2025-04-17 10:19:05.726037+00,7.22,148.77,10.63,222.04
34,2025-04-17 10:39:05.752623+00,7.27,148.48,10.56,221.61
35,2025-04-17 10:59:05.738078+00,7.22,147.61,10.56,220.31
36,2025-04-17 11:19:05.832681+00,7.24,147.9,10.56,220.75
37,2025-04-17 11:39:05.84587+00,7.26,147.9,10.56,220.75
38,2025-04-17 11:59:05.731742+00,7.27,147.9,10.56,220.75
39,2025-04-17 12:19:05.833137+00,7.29,147.61,10.56,220.31
40,2025-04-17 12:39:05.746649+00,7.25,147.32,10.56,219.88
41,2025-04-17 12:59:05.898346+00,7.31,149.93,10.56,223.78
42,2025-04-17 13:19:05.894853+00,7.22,147.32,10.56,219.88
43,2025-04-17 13:39:05.735539+00,7.35,147.03,10.56,219.45
44,2025-04-17 13:59:06.049357+00,7.37,146.45,10.56,218.58
45,2025-04-17 14:19:05.862816+00,7.64,147.03,10.63,219.45
46,2025-04-17 14:39:05.759021+00,7.86,146.74,10.63,219.01
47,2025-04-17 14:59:05.866108+00,7.99,146.45,10.69,218.58
48,2025-04-17 15:19:05.878085+00,7.98,146.74,10.69,219.01
49,2025-04-17 15:39:05.783303+00,8.0,146.74,10.69,219.01
50,2025-04-17 15:59:05.94979+00,8.11,146.74,10.69,219.01
51,2025-04-17 16:19:05.807844+00,8.17,146.16,10.69,218.15
52,2025-04-17 16:39:05.919055+00,8.28,146.16,10.69,218.15
53,2025-04-17 16:59:05.940962+00,8.36,145.87,10.69,217.72
54,2025-04-17 17:19:05.908829+00,8.42,146.16,10.63,218.15
55,2025-04-17 17:39:05.750111+00,8.36,145.87,10.63,217.72
56,2025-04-17 17:59:06.030571+00,8.3,145.57,10.63,217.27
57,2025-04-17 18:19:05.766491+00,8.28,145.87,10.63,217.72
58,2025-04-17 18:39:05.764017+00,8.28,145.57,10.56,217.27
59,2025-04-17 18:59:05.877709+00,8.39,145.57,10.5,217.27
60,2025-04-17 19:19:05.76918+00,8.39,144.99,10.5,216.4
61,2025-04-17 19:39:05.92196+00,8.42,144.7,10.44,215.97
62,2025-04-17 19:59:05.798429+00,8.38,143.83,10.44,214.67
63,2025-04-17 20:19:05.989541+00,8.34,144.41,10.38,215.54
64,2025-04-17 20:39:05.767552+00,8.3,144.12,10.31,215.1
65,2025-04-17 20:59:05.966896+00,8.3,143.54,10.31,214.24
66,2025-04-17 21:19:05.98339+00,8.24,142.95,10.25,213.36
67,2025-04-17 21:39:05.919223+00,8.17,142.66,10.25,212.93
68,2025-04-17 21:59:05.767108+00,8.14,142.66,10.19,212.93
69,2025-04-17 22:19:05.768009+00,8.1,142.66,10.19,212.93
70,2025-04-17 22:39:05.732144+00,8.2,141.49,10.13,211.18
71,2025-04-17 22:59:05.783199+00,8.13,141.49,10.06,211.18
72,2025-04-17 23:19:05.753037+00,8.02,141.2,10.06,210.75
73,2025-04-17 23:39:05.748782+00,7.88,140.91,10.0,210.31
74,2025-04-17 23:59:05.827104+00,7.83,140.62,10.0,209.88
75,2025-04-18 00:19:05.759741+00,7.84,140.33,9.94,209.45
76,2025-04-18 00:39:05.724461+00,7.72,140.03,9.94,209.0
77,2025-04-18 00:59:05.726047+00,7.56,139.16,9.94,207.7
78,2025-04-18 01:19:05.724978+00,7.52,138.86,9.88,207.25
79,2025-04-18 01:39:05.714298+00,7.51,138.57,9.81,206.82
80,2025-04-18 01:59:05.736979+00,7.47,138.57,9.81,206.82
81,2025-04-18 02:19:05.74654+00,7.29,137.99,9.75,205.96
82,2025-04-18 02:39:05.734595+00,7.33,137.4,9.69,205.07
83,2025-04-18 02:59:05.895488+00,7.36,137.4,9.69,205.07
84,2025-04-18 03:19:05.825625+00,7.19,136.52,9.63,203.76
85,2025-04-18 03:39:05.861676+00,7.16,136.52,9.63,203.76
86,2025-04-18 03:59:05.717759+00,7.1,136.23,9.56,203.33
87,2025-04-18 04:19:05.763948+00,7.09,136.23,9.56,203.33
88,2025-04-18 04:39:05.726688+00,7.0,135.94,9.5,202.9
89,2025-04-18 04:59:05.87647+00,7.0,135.64,9.5,202.45
90,2025-04-18 05:19:06.101888+00,6.97,135.35,9.44,202.01
91,2025-04-18 05:39:05.727264+00,6.87,135.05,9.38,201.57
92,2025-04-18 05:59:05.719499+00,6.83,134.17,9.38,200.25
93,2025-04-18 06:19:05.884427+00,6.95,133.59,9.31,199.39
94,2025-04-18 06:39:05.918419+00,7.0,134.17,9.31,200.25
95,2025-04-18 06:59:05.726202+00,6.82,132.7,9.31,198.06
96,2025-04-18 07:19:05.727116+00,6.79,132.7,9.25,198.06
97,2025-04-18 07:39:05.804148+00,6.73,132.41,9.25,197.63
98,2025-04-18 07:59:05.711759+00,6.7,132.12,9.19,197.19
99,2025-04-18 08:19:05.749448+00,6.7,131.53,9.25,196.31
100,2025-04-18 08:39:05.7248+00,6.76,131.23,9.25,195.87
101,2025-04-18 08:59:06.429421+00,6.69,130.94,9.31,195.43
102,2025-04-18 09:19:05.758262+00,6.58,130.94,9.38,195.43
103,2025-04-18 09:39:05.725302+00,6.54,130.64,9.44,194.99
104,2025-04-18 09:59:05.91397+00,6.54,131.23,9.5,195.87
105,2025-04-18 10:19:05.950967+00,6.64,131.53,9.63,196.31
106,2025-04-18 10:39:08.72824+00,6.63,131.23,9.63,195.87
107,2025-04-18 10:59:05.753843+00,6.63,131.53,9.69,196.31
108,2025-04-18 11:19:07.623099+00,6.67,130.94,9.75,195.43
109,2025-04-18 11:39:07.026274+00,6.68,130.94,9.88,195.43
110,2025-04-18 11:59:05.74578+00,6.59,131.23,10.0,195.87
111,2025-04-18 12:19:06.746059+00,6.47,131.23,10.19,195.87
112,2025-04-18 12:39:05.777823+00,6.37,131.53,10.44,196.31
113,2025-04-18 12:59:05.733383+00,6.32,132.12,10.63,197.19
114,2025-04-18 13:19:05.757595+00,6.3,133.88,10.94,199.82
115,2025-04-18 13:39:05.736139+00,6.78,135.35,11.19,202.01
116,2025-04-18 13:59:05.747744+00,7.35,135.94,11.56,202.9
117,2025-04-18 14:19:05.918006+00,6.4,137.4,11.94,205.07
118,2025-04-18 14:39:06.091022+00,6.5,138.57,12.44,206.82
119,2025-04-18 14:59:05.74798+00,6.62,140.91,12.94,210.31
120,2025-04-18 15:19:05.772893+00,6.78,142.37,13.44,212.49
121,2025-04-18 15:39:06.626123+00,6.92,143.83,13.94,214.67
122,2025-04-18 15:59:05.769666+00,7.04,144.99,14.44,216.4
123,2025-04-18 16:19:05.753755+00,7.17,145.57,14.87,217.27
124,2025-04-18 16:39:05.747707+00,7.27,146.74,15.25,219.01
125,2025-04-18 16:59:05.766989+00,7.42,147.61,15.63,220.31
126,2025-04-18 17:19:05.932548+00,7.51,147.32,15.88,219.88
127,2025-04-18 17:39:06.024991+00,7.55,147.9,16.12,220.75
128,2025-04-18 17:59:05.751318+00,7.7,148.48,16.31,221.61
129,2025-04-18 18:19:05.755059+00,7.78,149.06,16.5,222.48
130,2025-04-18 18:39:05.824049+00,7.89,148.19,16.62,221.18
131,2025-04-18 18:59:05.75683+00,8.11,147.03,16.62,219.45
132,2025-04-18 19:19:05.769537+00,8.34,147.03,16.56,219.45
133,2025-04-18 19:39:07.611756+00,8.79,146.16,16.44,218.15
134,2025-04-18 19:59:05.788131+00,9.24,145.87,16.31,217.72
135,2025-04-18 20:19:05.784+00,9.64,145.87,16.06,217.72
136,2025-04-18 20:39:05.83532+00,9.24,144.7,15.88,215.97
137,2025-04-18 20:59:12.381248+00,8.79,142.66,15.56,212.93
138,2025-04-18 21:19:05.791177+00,8.54,141.49,15.31,211.18
139,2025-04-18 21:39:05.824184+00,8.33,139.74,15.06,208.57
140,2025-04-18 21:59:05.916831+00,8.08,137.99,14.81,205.96
141,2025-04-18 22:19:05.871835+00,7.98,136.52,14.56,203.76
142,2025-04-18 22:39:05.892241+00,7.83,135.05,14.31,201.57
143,2025-04-18 22:59:05.905999+00,7.73,133.0,14.06,198.51
144,2025-04-18 23:19:05.949716+00,7.62,131.53,13.88,196.31
145,2025-04-18 23:39:05.79813+00,7.54,130.05,13.62,194.1
146,2025-04-18 23:59:06.054254+00,7.43,127.99,13.44,191.03
147,2025-04-19 00:19:05.934701+00,7.36,126.8,13.19,189.25
148,2025-04-19 00:39:05.771915+00,7.26,125.62,13.0,187.49
149,2025-04-19 00:59:05.777887+00,7.16,124.14,12.81,185.28
150,2025-04-19 01:19:05.769932+00,7.11,122.95,12.63,183.51
151,2025-04-19 01:39:05.785013+00,7.02,121.47,12.37,181.3
152,2025-04-19 01:59:05.878608+00,6.94,119.68,12.19,178.63
153,2025-04-19 02:19:05.918596+00,6.76,118.19,12.0,176.4
154,2025-04-19 02:39:05.829761+00,6.68,117.3,11.81,175.07
155,2025-04-19 02:59:05.77368+00,6.59,116.1,11.63,173.28
156,2025-04-19 03:19:05.772038+00,6.54,114.61,11.44,171.06
157,2025-04-19 03:39:05.753115+00,6.51,113.11,11.31,168.82
158,2025-04-19 03:59:05.916736+00,6.45,111.91,11.12,167.03
159,2025-04-19 04:19:05.907712+00,6.48,110.71,11.0,165.24
160,2025-04-19 04:39:05.782137+00,6.41,109.2,10.94,162.99
161,2025-04-19 04:59:05.760275+00,6.37,108.3,10.81,161.64
162,2025-04-19 05:19:05.758855+00,6.39,107.7,10.69,160.75
163,2025-04-19 05:39:05.76366+00,6.3,106.79,10.63,159.39
164,2025-04-19 05:59:05.868224+00,6.28,106.19,10.56,158.49
165,2025-04-19 06:19:06.319884+00,6.31,104.98,10.44,156.69
166,2025-04-19 06:39:05.769736+00,6.23,104.07,10.38,155.33
167,2025-04-19 06:59:05.794334+00,6.31,103.16,10.38,153.97
168,2025-04-19 07:19:05.783394+00,6.42,102.56,10.31,153.07
169,2025-04-19 07:39:05.769583+00,6.29,101.34,10.25,151.25
170,2025-04-19 07:59:05.911526+00,6.27,100.13,10.25,149.45
171,2025-04-19 08:19:05.777654+00,6.41,99.52,10.25,148.54
172,2025-04-19 08:39:05.782055+00,6.29,98.61,10.31,147.18
173,2025-04-19 08:59:05.905121+00,6.34,98.3,10.38,146.72
174,2025-04-19 09:19:05.947953+00,6.27,98.3,10.5,146.72
175,2025-04-19 09:39:05.973886+00,6.22,98.0,10.56,146.27
176,2025-04-19 09:59:05.91804+00,6.22,97.69,10.75,145.81
177,2025-04-19 10:19:05.788612+00,6.23,98.0,10.88,146.27
178,2025-04-19 10:39:05.793881+00,6.28,97.39,11.06,145.36
179,2025-04-19 10:59:08.498577+00,6.34,98.0,11.38,146.27
180,2025-04-19 11:19:05.921809+00,6.36,98.61,11.69,147.18
181,2025-04-19 11:39:05.807548+00,6.39,98.61,12.0,147.18
182,2025-04-19 11:59:05.8907+00,6.46,99.22,12.44,148.09
183,2025-04-19 12:19:05.907659+00,6.57,99.52,12.81,148.54
184,2025-04-19 12:39:05.963086+00,6.62,100.13,13.25,149.45
185,2025-04-19 12:59:05.776056+00,6.79,101.04,13.69,150.81
186,2025-04-19 13:19:05.909595+00,6.92,101.95,14.19,152.16
187,2025-04-19 13:39:05.808917+00,7.02,102.56,14.63,153.07
188,2025-04-19 13:59:05.961605+00,7.14,102.56,15.13,153.07
189,2025-04-19 14:19:05.93336+00,7.26,102.56,15.63,153.07
190,2025-04-19 14:39:05.919742+00,7.38,102.86,16.06,153.52
191,2025-04-19 14:59:05.807547+00,7.48,102.86,16.44,153.52
192,2025-04-19 15:19:05.799414+00,7.59,103.16,16.81,153.97
193,2025-04-19 15:39:05.815419+00,7.68,102.86,17.12,153.52
194,2025-04-19 15:59:05.942218+00,7.81,102.56,17.37,153.07
195,2025-04-19 16:19:05.838061+00,7.85,101.65,17.56,151.72
196,2025-04-19 16:39:05.844991+00,7.94,101.34,17.75,151.25
197,2025-04-19 16:59:05.802337+00,7.94,99.82,17.81,148.99
198,2025-04-19 17:19:05.813489+00,8.02,98.91,17.87,147.63
199,2025-04-19 17:39:05.82135+00,8.09,98.0,17.94,146.27
200,2025-04-19 17:59:05.837902+00,8.13,97.39,18.06,145.36
201,2025-04-19 18:19:05.832343+00,8.15,96.78,18.12,144.45
202,2025-04-19 18:39:06.02124+00,8.18,95.25,18.06,142.16
203,2025-04-19 18:59:05.830313+00,8.2,93.42,17.81,139.43
204,2025-04-19 19:19:08.239646+00,8.21,91.27,17.62,136.22
205,2025-04-19 19:39:05.827008+00,8.21,89.73,17.44,133.93
206,2025-04-19 19:59:06.082163+00,8.19,87.89,17.25,131.18
207,2025-04-19 20:19:05.866485+00,8.17,85.73,17.0,127.96
208,2025-04-19 20:39:05.870542+00,8.11,83.87,16.75,125.18
209,2025-04-19 20:59:05.840577+00,8.05,82.01,16.56,122.4
210,2025-04-19 21:19:05.922584+00,8.0,80.15,16.31,119.63
211,2025-04-19 21:39:06.019579+00,7.93,77.66,16.12,115.91
212,2025-04-19 21:59:05.887467+00,7.89,75.78,15.88,113.1
213,2025-04-19 22:19:06.021454+00,7.85,74.53,15.69,111.24
214,2025-04-19 22:39:06.023015+00,7.77,72.02,15.56,107.49
215,2025-04-19 22:59:05.847131+00,7.74,70.45,15.44,105.15
216,2025-04-19 23:19:06.099841+00,7.74,68.88,15.31,102.81
217,2025-04-19 23:39:06.217367+00,7.71,67.93,15.19,101.39
218,2025-04-19 23:59:05.860096+00,7.69,66.03,15.06,98.55
219,2025-04-20 00:19:05.843178+00,7.61,64.45,14.87,96.19
220,2025-04-20 00:39:05.850712+00,7.53,63.5,14.75,94.78
221,2025-04-20 00:59:06.038421+00,7.5,61.59,14.63,91.93
222,2025-04-20 01:19:06.063885+00,7.46,59.68,14.44,89.07
223,2025-04-20 01:39:05.986045+00,7.43,58.72,14.31,87.64
224,2025-04-20 01:59:05.823499+00,7.35,58.09,14.19,86.7
225,2025-04-20 02:19:05.871304+00,7.33,56.49,14.06,84.31
226,2025-04-20 02:39:05.863159+00,7.24,55.21,13.88,82.4
227,2025-04-20 02:59:06.015943+00,7.21,53.28,13.75,79.52
228,2025-04-20 03:19:06.040413+00,7.16,52.31,13.62,78.07
229,2025-04-20 03:39:05.915406+00,7.16,50.7,13.5,75.67
230,2025-04-20 03:59:05.857586+00,7.11,48.76,13.38,72.78
231,2025-04-20 04:19:05.881177+00,7.12,48.12,13.25,71.82
232,2025-04-20 04:39:05.863364+00,6.99,47.15,13.13,70.37
233,2025-04-20 04:59:05.847422+00,6.98,45.85,13.0,68.43
234,2025-04-20 05:19:05.857883+00,6.95,44.22,12.94,66.0
235,2025-04-20 05:39:05.943515+00,6.9,43.25,12.81,64.55
236,2025-04-20 05:59:05.847178+00,6.86,42.6,12.75,63.58
237,2025-04-20 06:19:05.846635+00,6.84,41.29,12.63,61.63
238,2025-04-20 06:39:05.878031+00,6.79,40.31,12.56,60.16
239,2025-04-20 06:59:05.851122+00,6.76,38.67,12.44,57.72
240,2025-04-20 07:19:05.854473+00,6.72,37.69,12.37,56.25
241,2025-04-20 07:39:05.856123+00,6.68,37.36,12.25,55.76
242,2025-04-20 07:59:06.053888+00,6.62,36.38,12.19,54.3
243,2025-04-20 08:19:05.980041+00,6.6,34.73,12.13,51.84
244,2025-04-20 08:39:06.011447+00,6.62,33.74,12.13,50.36
245,2025-04-20 08:59:05.864851+00,6.63,32.75,12.13,48.88
246,2025-04-20 09:19:05.989302+00,6.61,32.09,12.13,47.9
247,2025-04-20 09:39:06.004607+00,6.63,30.77,12.13,45.93
